label,type,occurrences
murder,legal_facts,1172
weapon_firearm,narrative,367
assault_method_shooting,narrative,280
confession_or_admission,evidence,225
location_public_space,narrative,223
weapon_sharp,narrative,197
diminished_responsibility,legal_facts,162
self_defence_legal,legal_facts,138
actus_reus_killing,legal_facts,125
alibi_claim,narrative,109
planning_premeditation,narrative,107
accessory_or_complicity,legal_facts,103
defendant_intoxicated,narrative,65
weapon_present,narrative,61
assault_method_stabbing,narrative,60
joint_enterprise_presence,narrative,51
insanity,legal_facts,51
causation,legal_facts,42
mens_rea_intent_to_kill,legal_facts,35
loss_of_control,legal_facts,34
assault_method_blunt_force,narrative,30
encounter,narrative,28
strangulation,narrative,20
unlawful_killing,legal_facts,19
location_private_dwelling,narrative,16
wound_sharp_force,evidence,15
motive_jealousy_revenge,narrative,14
abduction,narrative,12
weapon_petrol_fire,narrative,9
poisoning,narrative,7
weapon_blunt,narrative,7
flight_after_offence,narrative,4
gunshot_residue_gsr,evidence,4
tied_restraint,narrative,4
prior_conflict,narrative,4
lawful_killing_self_defence,legal_facts,4
prior_threats,narrative,3
boasting_admissions,narrative,3
inconsistent_statements,evidence,2
manslaughter_unlawful_act,legal_facts,2
financial_transactions_gain,evidence,2
motive_financial_gain,narrative,2
injury_defensive_wounds,evidence,1
victim_intoxicated,narrative,1
prior_assault,narrative,1
withdrawal_effective,legal_facts,1
