src_label,dst_label
weapon_sharp,confession_third_party
motive_financial_gain,mens_rea_intent_to_kill
victim_intoxicated,location_public_space
motive_financial_gain,wound_sharp_force
wound_blunt_force,mens_rea_intent_to_kill
weapon_sharp,time_of_death_window_narrow
weapon_present,injury_defensive_wounds
flight_after_offence,mens_rea_intent_to_kill
strangulation,motive_jealousy_revenge
motive_financial_gain,weapon_sharp
cctv_presence,confession_or_admission
weapon_petrol_fire,causation
search_history_weapons_or_poison,planning_premeditation
victim_intoxicated,motive_financial_gain
flight_after_offence,confession_third_party
motive_jealousy_revenge,strangulation
confession_or_admission,victim_intoxicated
motive_financial_gain,defendant_intoxicated
weapon_petrol_fire,unlawful_killing
wound_sharp_force,prior_threats
prior_threats,wound_sharp_force
wound_blunt_force,weapon_present
alibi_claim,loss_of_control
flight_after_offence,weapon_present
motive_financial_gain,weapon_firearm
assault_method_shooting,cctv_presence
victim_intoxicated,confession_or_admission
cctv_presence,assault_method_shooting
search_history_weapons_or_poison,location_public_space
time_of_death_window_narrow,actus_reus_killing
injury_defensive_wounds,weapon_present
motive_jealousy_revenge,unlawful_killing
motive_jealousy_revenge,manslaughter_unlawful_act
defendant_intoxicated,causation
search_history_weapons_or_poison,murder
planning_premeditation,manslaughter_unlawful_act
weapon_petrol_fire,weapon_blunt
diminished_responsibility,injury_defensive_wounds
planning_premeditation,wound_blunt_force
flight_after_offence,prior_conflict
weapon_firearm,manslaughter_unlawful_act
weapon_petrol_fire,motive_financial_gain
confession_third_party,location_public_space
prior_conflict,assault_method_shooting
motive_financial_gain,unlawful_killing
encounter,prior_assault
motive_financial_gain,victim_intoxicated
motive_financial_gain,weapon_petrol_fire
search_history_weapons_or_poison,self_defence_legal
confession_third_party,assault_method_stabbing
confession_third_party,murder
weapon_petrol_fire,accessory_or_complicity
weapon_blunt,motive_financial_gain
murder,wound_blunt_force
abduction,weapon_blunt
confession_or_admission,cctv_presence
wound_blunt_force,location_public_space
cctv_presence,causation
murder,search_history_weapons_or_poison
search_history_weapons_or_poison,encounter
motive_financial_gain,time_of_death_window_narrow
time_of_death_window_narrow,murder
assault_method_stabbing,weapon_petrol_fire
joint_enterprise_presence,victim_intoxicated
joint_enterprise_presence,flight_after_offence
confession_third_party,self_defence_legal
weapon_firearm,motive_financial_gain
victim_intoxicated,self_defence_legal
motive_financial_gain,weapon_blunt
assault_method_stabbing,confession_third_party
wound_blunt_force,murder
wound_sharp_force,flight_after_offence
defendant_intoxicated,motive_financial_gain
wound_sharp_force,weapon_petrol_fire
weapon_blunt,abduction
weapon_sharp,prior_assault
alibi_claim,wound_blunt_force
location_public_space,wound_blunt_force
weapon_firearm,prior_conflict
prior_assault,prior_assault
injury_defensive_wounds,diminished_responsibility
location_public_space,victim_intoxicated
wound_sharp_force,confession_third_party
location_public_space,search_history_weapons_or_poison
causation,cctv_presence
weapon_blunt,weapon_petrol_fire
prior_assault,encounter
confession_third_party,prior_threats
weapon_petrol_fire,assault_method_stabbing
assault_method_stabbing,motive_financial_gain
prior_conflict,mens_rea_intent_to_kill
confession_third_party,wound_sharp_force
location_public_space,confession_third_party
wound_blunt_force,confession_or_admission
victim_intoxicated,wound_sharp_force
wound_blunt_force,planning_premeditation
weapon_petrol_fire,assault_method_blunt_force
weapon_petrol_fire,lawful_killing_self_defence
planning_premeditation,search_history_weapons_or_poison
search_history_weapons_or_poison,weapon_present
wound_sharp_force,weapon_blunt
location_public_space,time_of_death_window_narrow
prior_conflict,weapon_sharp
confession_third_party,weapon_sharp
mens_rea_intent_to_kill,wound_blunt_force
wound_sharp_force,motive_financial_gain
wound_blunt_force,loss_of_control
cctv_presence,weapon_firearm
defendant_intoxicated,weapon_petrol_fire
prior_assault,weapon_sharp
flight_after_offence,prior_threats
planning_premeditation,time_of_death_window_narrow
victim_intoxicated,joint_enterprise_presence
flight_after_offence,wound_sharp_force
weapon_petrol_fire,prior_assault
murder,cctv_presence
search_history_weapons_or_poison,actus_reus_killing
encounter,manslaughter_unlawful_act
encounter,wound_blunt_force
assault_method_stabbing,cctv_presence
cctv_presence,planning_premeditation
flight_after_offence,assault_method_shooting
encounter,search_history_weapons_or_poison
weapon_sharp,motive_financial_gain
prior_conflict,weapon_firearm
motive_financial_gain,assault_method_stabbing
self_defence_legal,wound_blunt_force
confession_or_admission,wound_blunt_force
assault_method_blunt_force,weapon_petrol_fire
assault_method_shooting,prior_conflict
prior_threats,flight_after_offence
self_defence_legal,search_history_weapons_or_poison
weapon_petrol_fire,mens_rea_intent_to_kill
weapon_petrol_fire,wound_sharp_force
flight_after_offence,joint_enterprise_presence
weapon_sharp,prior_conflict
weapon_present,wound_blunt_force
prior_threats,confession_third_party
location_public_space,cctv_presence
motive_financial_gain,self_defence_legal
weapon_present,flight_after_offence
weapon_petrol_fire,weapon_sharp
weapon_present,weapon_petrol_fire
weapon_present,search_history_weapons_or_poison
cctv_presence,location_public_space
assault_method_shooting,flight_after_offence
prior_assault,accessory_or_complicity
wound_blunt_force,self_defence_legal
wound_blunt_force,alibi_claim
flight_after_offence,self_defence_legal
weapon_blunt,wound_sharp_force
