canonical_label,synonyms_and_variants
blood_spatter_pattern_consistent,"blood spatter consistent, BPA supports scenario, blood spatter analysis aligns, blood pattern corroborates evidence, BPA matches the narrative, blood spatter supports theory, blood evidence consistent with events, blood pattern fits scenario, BPA is consistent, blood spatter aligns with testimony, blood evidence corroborates account, blood spatter confirms sequence, BPA aligns with findings, blood pattern supports claim, blood spatter matches circumstances, BPA consistent with injuries, blood evidence aligns with facts, blood spatter corroborates story, BPA supports the timeline, blood pattern consistent with actions, blood spatter analysis confirms, BPA is in agreement"
call_logs_prior_contact,"call records show contact, calls between parties, previous call history, telephone communication records, contact logs, recorded phone conversations, calls made prior, call history evidence, communication between parties, prior contact details, phone records indicate, evidence of calls, call data analysis, history of phone calls, documented communications, previous interactions, call transcripts, telephonic exchanges, contact evidence, phone call evidence, calls prior to incident, communication logs"
cctv_attack_visible,"CCTV shows attack, captured on camera, CCTV footage of assault, Video evidence of attack, Surveillance captures incident, CCTV recording of event, Camera footage shows violence, Footage reveals the attack, CCTV evidence of crime, Video shows the confrontation, Surveillance video of assault, CCTV displays the attack, Captured on surveillance, CCTV reveals the incident, Video captures the altercation, CCTV shows the assault, Footage of the attack, CCTV footage of the crime, Camera evidence of the attack, Video evidence shows assault, CCTV shows violent act, Surveillance footage of the attack"
cctv_presence,"CCTV available, video footage, CCTV footage available, CCTV evidence presented, Video surveillance footage, CCTV recordings submitted, Surveillance camera footage, Video evidence obtained, CCTV images captured, CCTV system operational, Footage from security cameras, Video clips reviewed, CCTV data retrieved, Surveillance video available, Recorded video evidence, CCTV visuals provided, CCTV footage reviewed, Video surveillance evidence, CCTV footage analyzed, Security footage accessible, CCTV observation noted, CCTV presence confirmed"
confession_or_admission,"admitted, confessed, told police ""I did it"", acknowledged involvement, made a statement, voluntarily confessed, admitted to the crime, said to officers, own up to it, came clean, revealed the truth, accepted responsibility, told detectives, made an admission, spoke to the police, disclosed actions, admitted guilt, confessed to the murder, said he did it, told the truth, acknowledged wrongdoing, gave a full account, admitted to killing"
dna_match_defendant_on_weapon,"defendant DNA on weapon, DNA on knife, DNA found on weapon, DNA linked to defendant, DNA evidence on knife, Defendant's DNA on firearm, DNA trace on weapon, DNA sample from weapon, DNA match to accused, Forensic DNA on knife, Defendant's genetic material on weapon, DNA profile on murder weapon, DNA recovered from knife, DNA evidence connecting defendant, Defendant's DNA profile on weapon, DNA analysis of weapon, DNA evidence found on blade, DNA match from crime scene, DNA presence on weapon, Genetic evidence on knife, DNA found at crime scene, Defendant's DNA located on weapon"
dna_match_victim_on_defendant,"victim DNA on defendant, DNA transfer from victim, DNA evidence linking victim to defendant, Victim's DNA found on defendant, DNA profile matches victim, Transfer of victim's DNA, Victim's genetic material on defendant, DNA from victim at crime scene, Forensic DNA match with victim, Victim's DNA traces on defendant, DNA evidence implicating defendant, Victim's biological evidence on defendant, DNA connection between victim and defendant, Victim's DNA presence on suspect, Genetic link to victim, Victim's DNA located on accused, DNA analysis reveals victim's presence, Victim's DNA found during investigation, DNA evidence tying defendant to victim, Victim's DNA discovered on suspect, Forensic link to victim's DNA, Victim's DNA identified on defendant"
expert_opinion_diminished_resp,"psychiatrist opined diminished, expert supports DR, psychiatric evaluation indicates diminished, expert testimony on diminished responsibility, mental health assessment supports DR, psychiatrist's assessment of diminished, expert witness on mental state, opinion of mental impairment, psychologist's report on responsibility, expert analysis of diminished capacity, professional assessment of DR, mental health expert's opinion, psychiatric insight into responsibility, evaluation suggests diminished responsibility, expert view on mental health, clinical opinion on diminished, psychiatrist's findings on culpability, mental health expert supports DR, expert evaluation of mental condition, opinion on impaired judgment, assessment of mental functioning, expert insight into diminished responsibility"
eyewitness_heard_threat,"heard threat, heard say ""I will kill"", heard threats, overheard a threat, witnessed a threat, heard someone say ""I'll kill"", heard threats made, listened to threats, heard threats uttered, overheard ""I will kill you"", heard violent threats, heard someone threaten, witnessed threats being made, heard aggressive remarks, heard someone shout threats, overheard a violent threat, heard a death threat, heard threats of harm, listened to someone threaten, heard threats in conversation, witnessed someone making threats, heard threats directed at someone, overheard a threatening statement"
eyewitness_identification,"identified the defendant, recognised him, picked out in parade, identified the suspect, identified the accused, recognized the defendant, picked out the suspect, identified in a lineup, identified in a photo array, pointed out the defendant, singled out the accused, selected from the lineup, confirmed identity of the suspect, testified to recognition, identified in court, made a positive identification, identified during the investigation, recognized during questioning, identified at the scene, picked out during police lineup, identified by witness testimony, recognized from previous encounters, identified as the perpetrator"
