case_id,src_label,dst_label
NEG_00000,weapon_firearm,murder
NEG_00000,confession_or_admission,weapon_firearm
NEG_00000,actus_reus_killing,accessory_or_complicity
NEG_00000,weapon_present,assault_method_shooting
NEG_00000,actus_reus_killing,assault_method_shooting
NEG_00000,assault_method_shooting,murder
NEG_00000,assault_method_shooting,location_public_space
NEG_00000,murder,insanity
NEG_00000,assault_method_stabbing,murder
NEG_00000,confession_or_admission,actus_reus_killing
NEG_00000,accessory_or_complicity,accessory_or_complicity
NEG_00000,diminished_responsibility,murder
NEG_00000,weapon_present,murder
NEG_00000,encounter,murder
NEG_00000,actus_reus_killing,murder
NEG_00000,weapon_sharp,actus_reus_killing
NEG_00000,location_public_space,confession_or_admission
NEG_00000,accessory_or_complicity,assault_method_shooting
NEG_00000,murder,diminished_responsibility
NEG_00000,murder,accessory_or_complicity
NEG_00000,assault_method_shooting,motive_jealousy_revenge
NEG_00000,self_defence_legal,self_defence_legal
NEG_00000,gunshot_residue_gsr,weapon_firearm
NEG_00000,assault_method_shooting,weapon_present
NEG_00000,assault_method_shooting,manslaughter_unlawful_act
NEG_00000,weapon_firearm,weapon_firearm
NEG_00000,location_public_space,actus_reus_killing
NEG_00000,weapon_firearm,confession_or_admission
NEG_00000,weapon_firearm,gunshot_residue_gsr
NEG_00000,confession_or_admission,diminished_responsibility
NEG_00000,accessory_or_complicity,murder
NEG_00000,weapon_present,manslaughter_unlawful_act
NEG_00000,assault_method_shooting,weapon_firearm
NEG_00000,assault_method_shooting,gunshot_residue_gsr
NEG_00000,weapon_firearm,actus_reus_killing
NEG_00000,assault_method_shooting,confession_or_admission
NEG_00000,gunshot_residue_gsr,murder
NEG_00000,insanity,murder
NEG_00000,weapon_sharp,diminished_responsibility
NEG_00000,weapon_sharp,accessory_or_complicity
NEG_00000,diminished_responsibility,confession_or_admission
NEG_00000,assault_method_shooting,actus_reus_killing
NEG_00000,alibi_claim,murder
NEG_00000,diminished_responsibility,actus_reus_killing
NEG_00000,weapon_present,actus_reus_killing
NEG_00000,confession_or_admission,murder
NEG_00000,motive_jealousy_revenge,accessory_or_complicity
NEG_00000,alibi_claim,alibi_claim
NEG_00000,location_public_space,assault_method_shooting
NEG_00000,weapon_firearm,accessory_or_complicity
NEG_00000,motive_jealousy_revenge,assault_method_shooting
NEG_00000,actus_reus_killing,weapon_sharp
NEG_00000,gunshot_residue_gsr,assault_method_shooting
NEG_00000,weapon_sharp,murder
NEG_00000,weapon_firearm,assault_method_shooting
NEG_00000,weapon_sharp,self_defence_legal
NEG_00000,prior_threats,murder
NEG_00000,diminished_responsibility,diminished_responsibility
NEG_00000,assault_method_shooting,accessory_or_complicity
NEG_00000,assault_method_stabbing,accessory_or_complicity
NEG_00000,location_public_space,murder
NEG_00000,murder,weapon_firearm
NEG_00000,motive_jealousy_revenge,murder
NEG_00000,accessory_or_complicity,actus_reus_killing
NEG_00000,assault_method_shooting,assault_method_shooting
NEG_00000,actus_reus_killing,diminished_responsibility
NEG_00000,weapon_present,accessory_or_complicity
NEG_00000,encounter,diminished_responsibility
NEG_00000,murder,actus_reus_killing
NEG_00001,weapon_firearm,murder
NEG_00001,confession_or_admission,weapon_firearm
NEG_00001,actus_reus_killing,accessory_or_complicity
NEG_00001,weapon_present,assault_method_shooting
NEG_00001,murder,insanity
NEG_00001,assault_method_stabbing,murder
NEG_00001,accessory_or_complicity,accessory_or_complicity
NEG_00001,diminished_responsibility,murder
NEG_00001,weapon_present,murder
NEG_00001,encounter,murder
NEG_00001,weapon_sharp,actus_reus_killing
NEG_00001,accessory_or_complicity,assault_method_shooting
NEG_00001,murder,diminished_responsibility
NEG_00001,murder,accessory_or_complicity
NEG_00001,assault_method_shooting,motive_jealousy_revenge
NEG_00001,self_defence_legal,self_defence_legal
NEG_00001,gunshot_residue_gsr,weapon_firearm
NEG_00001,assault_method_shooting,weapon_present
NEG_00001,assault_method_shooting,manslaughter_unlawful_act
NEG_00001,weapon_firearm,weapon_firearm
NEG_00001,weapon_firearm,confession_or_admission
NEG_00001,weapon_firearm,gunshot_residue_gsr
NEG_00001,confession_or_admission,diminished_responsibility
NEG_00001,accessory_or_complicity,murder
NEG_00001,weapon_present,manslaughter_unlawful_act
NEG_00001,assault_method_shooting,weapon_firearm
NEG_00001,assault_method_shooting,gunshot_residue_gsr
NEG_00001,weapon_firearm,actus_reus_killing
NEG_00001,gunshot_residue_gsr,murder
NEG_00001,insanity,murder
NEG_00001,weapon_sharp,diminished_responsibility
NEG_00001,weapon_sharp,accessory_or_complicity
NEG_00001,diminished_responsibility,confession_or_admission
NEG_00001,alibi_claim,murder
NEG_00001,diminished_responsibility,actus_reus_killing
