case_id,label,type,count
NEG_00000,murder,legal_facts,2
NEG_00001,actus_reus_killing,legal_facts,1
NEG_00001,assault_method_shooting,narrative,1
NEG_00001,confession_or_admission,evidence,1
NEG_00001,location_public_space,narrative,1
NEG_00001,murder,legal_facts,2
NEG_00002,confession_or_admission,evidence,1
NEG_00002,murder,legal_facts,2
NEG_00003,location_public_space,narrative,1
NEG_00003,murder,legal_facts,3
NEG_00004,assault_method_stabbing,narrative,1
NEG_00004,murder,legal_facts,2
NEG_00005,accessory_or_complicity,legal_facts,1
NEG_00005,motive_jealousy_revenge,narrative,1
NEG_00005,murder,legal_facts,1
NEG_00006,murder,legal_facts,1
NEG_00007,assault_method_shooting,narrative,1
NEG_00007,murder,legal_facts,4
NEG_00008,assault_method_shooting,narrative,1
NEG_00008,murder,legal_facts,4
NEG_00009,assault_method_shooting,narrative,1
NEG_00009,murder,legal_facts,4
NEG_00010,assault_method_shooting,narrative,1
NEG_00010,murder,legal_facts,4
NEG_00011,assault_method_shooting,narrative,1
NEG_00011,murder,legal_facts,4
NEG_00012,actus_reus_killing,legal_facts,1
NEG_00012,assault_method_shooting,narrative,1
NEG_00012,manslaughter_unlawful_act,legal_facts,1
NEG_00012,murder,legal_facts,6
NEG_00012,weapon_present,narrative,1
NEG_00013,accessory_or_complicity,legal_facts,1
NEG_00013,murder,legal_facts,1
NEG_00014,murder,legal_facts,3
NEG_00015,murder,legal_facts,3
NEG_00016,assault_method_shooting,narrative,3
NEG_00016,gunshot_residue_gsr,evidence,4
NEG_00016,murder,legal_facts,2
NEG_00016,weapon_firearm,narrative,4
NEG_00017,diminished_responsibility,legal_facts,2
NEG_00017,murder,legal_facts,2
NEG_00018,actus_reus_killing,legal_facts,1
NEG_00018,assault_method_shooting,narrative,1
NEG_00018,murder,legal_facts,1
NEG_00018,weapon_firearm,narrative,2
NEG_00019,assault_method_shooting,narrative,1
NEG_00020,location_public_space,narrative,1
NEG_00020,murder,legal_facts,4
NEG_00021,murder,legal_facts,1
NEG_00022,murder,legal_facts,1
NEG_00023,murder,legal_facts,1
NEG_00024,murder,legal_facts,1
NEG_00025,confession_or_admission,evidence,2
NEG_00025,murder,legal_facts,2
NEG_00026,murder,legal_facts,3
NEG_00027,murder,legal_facts,3
NEG_00028,murder,legal_facts,3
NEG_00029,murder,legal_facts,1
NEG_00030,murder,legal_facts,1
NEG_00031,murder,legal_facts,1
NEG_00032,diminished_responsibility,legal_facts,2
NEG_00032,encounter,narrative,1
NEG_00032,murder,legal_facts,3
NEG_00033,murder,legal_facts,1
NEG_00034,actus_reus_killing,legal_facts,1
NEG_00034,diminished_responsibility,legal_facts,2
NEG_00034,murder,legal_facts,1
NEG_00034,self_defence_legal,legal_facts,2
NEG_00034,weapon_sharp,narrative,1
NEG_00035,murder,legal_facts,1
NEG_00036,confession_or_admission,evidence,1
NEG_00036,murder,legal_facts,1
NEG_00037,confession_or_admission,evidence,1
NEG_00037,murder,legal_facts,1
NEG_00037,weapon_firearm,narrative,1
NEG_00038,murder,legal_facts,1
NEG_00039,accessory_or_complicity,legal_facts,1
NEG_00039,actus_reus_killing,legal_facts,1
NEG_00039,murder,legal_facts,1
NEG_00040,confession_or_admission,evidence,1
NEG_00040,diminished_responsibility,legal_facts,4
NEG_00040,murder,legal_facts,3
NEG_00041,murder,legal_facts,1
NEG_00042,murder,legal_facts,1
NEG_00043,actus_reus_killing,legal_facts,1
NEG_00043,murder,legal_facts,1
NEG_00044,murder,legal_facts,2
NEG_00045,accessory_or_complicity,legal_facts,2
NEG_00045,actus_reus_killing,legal_facts,1
NEG_00045,assault_method_shooting,narrative,2
NEG_00045,murder,legal_facts,2
NEG_00045,weapon_firearm,narrative,1
NEG_00046,murder,legal_facts,2
NEG_00047,murder,legal_facts,1
NEG_00047,prior_threats,narrative,1
NEG_00048,murder,legal_facts,1
NEG_00049,murder,legal_facts,1
NEG_00050,murder,legal_facts,1
NEG_00051,confession_or_admission,evidence,1
NEG_00051,murder,legal_facts,3
NEG_00052,murder,legal_facts,1
NEG_00052,weapon_firearm,narrative,2
NEG_00052,weapon_present,narrative,1
NEG_00053,murder,legal_facts,1
NEG_00053,weapon_firearm,narrative,2
NEG_00053,weapon_present,narrative,1
