canonical_label,synonyms_and_variants
accessory_or_complicity,"aiding and abetting, party to the offence, joint enterprise, secondary liability, co-perpetrator, accomplice liability, collaborative crime, criminal partnership, assisting in the crime, joint criminal enterprise, shared intent, acting in concert, facilitating the offence, criminal complicity, aiding another, acting as an accomplice, participating in the crime, helping the principal, supporting the offence, jointly engaged in crime, conspiring with others, involvement in the offence, collusion in crime, secondary participation"
actus_reus_killing,"caused death, brought about death, killed, took a life, ended a life, inflicted fatal injuries, resulted in death, caused fatal harm, deliberately killed, intended to kill, caused the death, committed homicide, unlawfully killed, caused the demise, brought about fatality, acted with intent to kill, engaged in lethal conduct, caused loss of life, deliberately caused death, resulted in fatality, inflicted death, took another's life, caused serious harm leading to death, led to death, caused the victim's death, brought about the demise, resulted in the victim's demise, caused the death of, terminated life, effected death, caused the loss of life, ended the victim's life, delivered a fatal blow, caused lethal harm, brought on death, produced death"
causation,"more than minimal cause, substantial cause, legal causation, direct cause of death, intent to kill, unlawful act, causal connection, intent to cause serious harm, physical act of killing, resulting death, unlawful killing, reckless disregard for life, malicious intent, foreseeable consequence, causal link, deliberate act, intentional homicide, gross negligence, killing with intent, premeditated murder, causal relationship, act causing death, culpable homicide, direct cause, proximate cause, but for test, operative cause, effective cause, contributory cause, intervening cause, legal responsibility, sufficient cause, material cause, primary cause, actual cause, chain of causation, causal factor, causal nexus, resulting harm"
diminished_responsibility,"diminished responsibility, abnormality of mental functioning, substantial impairment, recognised medical condition, mental impairment, mental disorder, psychological abnormality, reduced responsibility, mental health issues, substantial mental impairment, diminished mental capacity, recognised psychiatric condition, serious mental illness, cognitive dysfunction, emotional disturbance, psychological condition, mental illness, lack of self-control, impaired judgment, temporary insanity, mental health defense, psychological impairment, abnormal mental state, mental fitness"
duress_not_available_murder,"duress not a defence to murder, duress unavailable, duress cannot excuse murder, duress not applicable to murder, defense of duress not permitted, duress is no defense, duress not a valid defense, duress does not apply, duress cannot justify killing, duress is irrelevant to murder, duress not recognized in homicide, duress fails as a defense, duress cannot absolve liability, duress not a mitigating factor, duress does not negate intent, duress not a legal excuse, duress insufficient for murder charge, duress cannot reduce culpability, duress is not a shield, duress not a lawful defense, duress does not exonerate, duress cannot be invoked"
insanity,"insane, disease of the mind, M’Naghten, mental illness, mental disorder, lack of responsibility, diminished capacity, psychotic condition, unfit to plead, abnormality of mind, cognitive impairment, severe mental impairment, insanity defense, temporary insanity, mental incapacity, psychological disturbance, insanity plea, disease affecting the mind, mental health issues, insanity ruling, mental state at the time, insanity verdict, defective reason"
lawful_killing_self_defence,"lawful killing, acquitted on self-defence, justifiable homicide, self-defence claim, lawful use of force, defensive action, reasonable force, acting in self-defence, killing in self-defence, self-preservation, proportional response, defensive killing, justified killing, acquitted on grounds of self-defence, self-defence justification, lawful self-protection, necessary force, defensive necessity, imminent threat, fear for life, self-defence argument, excessive force claim"
loss_of_control,"loss of self-control, qualifying trigger, fear of serious violence, things said or done, loss of composure, temporary loss of control, emotional disturbance, provocation, triggering event, sudden emotional outburst, fear for personal safety, reaction to aggression, overwhelming stress, loss of emotional control, immediate provocation, intense emotional response, uncontrollable rage, psychological trigger, extreme emotional reaction, loss of rationality, violent provocation, fear-induced response, stressful confrontation, unforeseen circumstances"
manslaughter_diminished_resp,"manslaughter by diminished responsibility, diminished responsibility manslaughter, manslaughter due to mental illness, impaired mental state, reduced culpability, mental health defense, diminished capacity, temporary insanity, loss of self-control, psychological disturbance, abnormality of mind, mental impairment, substantial impairment of mental functioning, mental disorder defense, unintentional killing, manslaughter with diminished capacity, lack of intent, emotional disturbance, psychological issues, mitigating mental health factors, diminished moral responsibility"
manslaughter_gross_negligence,"gross negligence manslaughter, criminal negligence manslaughter, negligent homicide, grossly negligent conduct, failure to act, reckless disregard for life, serious negligence, unintentional killing, careless actions leading to death, culpable negligence, breach of duty of care, manslaughter by negligence, death caused by negligence, inadvertent killing, failure to take precautions, extreme negligence, lack of reasonable care, negligent behavior resulting in death, grave negligence, unlawful act manslaughter, carelessness leading to fatality"
manslaughter_loss_of_control,"manslaughter by loss of control, loss of control manslaughter, manslaughter due to loss of control, loss of self-control, manslaughter by provocation, provoked killing, killing in the heat of the moment, emotional disturbance manslaughter, homicide with loss of control, manslaughter from emotional upset, killing under provocation, loss of control defense, manslaughter from rage, sudden loss of control, impulsive killing, heat of passion manslaughter, temporary insanity manslaughter, killing without premeditation, reactive homicide, unintentional killing due to provocation, manslaughter from extreme emotional disturbance"
manslaughter_unlawful_act,"unlawful act manslaughter, constructive manslaughter, unlawful act, manslaughter by unlawful act, unlawful killing, manslaughter through unlawful act, criminal act manslaughter, manslaughter due to unlawful act, unlawful act causing death, manslaughter from illegal act, homicide by unlawful act, unlawful act leading to death, manslaughter via unlawful conduct, death caused by unlawful act, unlawful act resulting in death, manslaughter arising from unlawful act, killing through unlawful means, unlawful act homicide, manslaughter from a crime, death by unlawful means, manslaughter in the course of a crime"
mens_rea_intent_gbh,"intent to cause GBH, serious harm intent, intent to kill, deliberate infliction of harm, purposeful act of violence, willful intent to cause injury, malicious intent to harm, premeditated killing, intent to inflict serious injury, causing death with intent, intentional act of homicide, desire to cause grievous harm, knowing disregard for life, acting with intent to kill, deliberate act of murder, intent to cause fatal harm, culpable intent to kill, intentional infliction of death, planned act of violence, willingness to cause death, malice aforethought, intent to cause lethal harm, deliberate harm intention, purpose to cause grievous bodily harm, intention to cause serious injury, willful intent to injure, desire to cause serious harm, intentional infliction of GBH, premeditated intent to harm, specific intent to cause injury, intention to cause severe harm, knowing intent to injure, deliberate intent to cause GBH, intent to seriously hurt, malicious intent to cause harm, intention to inflict injury, purposeful harm intent, intent to cause significant injury, willful desire to harm, intent to cause bodily harm"
