label,type,occurrences
murder,legal_facts,175
diminished_responsibility,legal_facts,36
weapon_firearm,narrative,21
confession_or_admission,evidence,21
assault_method_shooting,narrative,15
actus_reus_killing,legal_facts,10
accessory_or_complicity,legal_facts,9
weapon_present,narrative,4
self_defence_legal,legal_facts,4
gunshot_residue_gsr,evidence,4
weapon_sharp,narrative,3
location_public_space,narrative,3
motive_jealousy_revenge,narrative,2
assault_method_stabbing,narrative,2
alibi_claim,narrative,2
manslaughter_unlawful_act,legal_facts,1
prior_threats,narrative,1
encounter,narrative,1
insanity,legal_facts,1
