case_id,src_label,dst_label
CASE_00006,joint_enterprise_presence,self_defence_legal
CASE_00006,location_private_dwelling,location_public_space
CASE_00006,weapon_firearm,wound_sharp_force
CASE_00006,joint_enterprise_presence,alibi_claim
CASE_00006,alibi_claim,assault_method_stabbing
CASE_00006,poisoning,diminished_responsibility
CASE_00006,weapon_present,diminished_responsibility
CASE_00006,weapon_sharp,confession_third_party
CASE_00006,prior_conflict,location_public_space
CASE_00006,joint_enterprise_presence,strangulation
CASE_00006,location_public_space,assault_method_stabbing
CASE_00006,alibi_claim,murder
CASE_00006,encounter,prior_conflict
CASE_00006,encounter,accessory_or_complicity
CASE_00006,abduction,weapon_sharp
CASE_00006,location_public_space,motive_jealousy_revenge
CASE_00006,injury_defensive_wounds,confession_or_admission
CASE_00006,alibi_claim,weapon_blunt
CASE_00006,location_public_space,location_private_dwelling
CASE_00006,assault_method_stabbing,confession_or_admission
CASE_00006,motive_financial_gain,mens_rea_intent_to_kill
CASE_00006,victim_intoxicated,location_public_space
CASE_00006,weapon_present,weapon_blunt
CASE_00006,weapon_blunt,motive_jealousy_revenge
CASE_00006,motive_financial_gain,wound_sharp_force
CASE_00006,encounter,planning_premeditation
CASE_00006,motive_jealousy_revenge,motive_jealousy_revenge
CASE_00006,defendant_intoxicated,withdrawal_effective
CASE_00006,assault_method_stabbing,prior_assault
CASE_00006,encounter,abduction
CASE_00006,location_public_space,assault_method_blunt_force
CASE_00006,defendant_intoxicated,wound_sharp_force
CASE_00006,location_public_space,lawful_killing_self_defence
CASE_00006,assault_method_blunt_force,accessory_or_complicity
CASE_00006,weapon_blunt,joint_enterprise_presence
CASE_00006,joint_enterprise_presence,prior_assault
CASE_00006,alibi_claim,injury_defensive_wounds
CASE_00006,wound_sharp_force,self_defence_legal
CASE_00006,wound_blunt_force,mens_rea_intent_to_kill
CASE_00006,weapon_sharp,time_of_death_window_narrow
CASE_00006,confession_or_admission,prior_conflict
CASE_00006,confession_or_admission,accessory_or_complicity
CASE_00006,prior_assault,location_public_space
CASE_00006,wound_sharp_force,alibi_claim
CASE_00006,assault_method_shooting,lawful_killing_self_defence
CASE_00006,weapon_present,injury_defensive_wounds
CASE_00006,assault_method_stabbing,encounter
CASE_00006,flight_after_offence,mens_rea_intent_to_kill
CASE_00006,flight_after_offence,unlawful_killing
CASE_00006,location_private_dwelling,assault_method_stabbing
CASE_00006,prior_threats,accessory_or_complicity
CASE_00006,assault_method_blunt_force,abduction
CASE_00006,location_private_dwelling,murder
CASE_00006,confession_or_admission,planning_premeditation
CASE_00006,weapon_petrol_fire,actus_reus_killing
CASE_00006,strangulation,motive_jealousy_revenge
CASE_00006,assault_method_stabbing,loss_of_control
CASE_00006,prior_threats,confession_or_admission
CASE_00006,confession_or_admission,abduction
CASE_00006,weapon_sharp,assault_method_stabbing
CASE_00006,prior_conflict,murder
CASE_00006,motive_financial_gain,weapon_sharp
CASE_00006,planning_premeditation,motive_jealousy_revenge
CASE_00006,wound_sharp_force,confession_or_admission
CASE_00006,strangulation,defendant_intoxicated
CASE_00006,cctv_presence,confession_or_admission
CASE_00006,defendant_intoxicated,weapon_sharp
CASE_00006,weapon_firearm,motive_jealousy_revenge
CASE_00006,abduction,weapon_present
CASE_00006,victim_intoxicated,murder
CASE_00006,assault_method_blunt_force,poisoning
CASE_00006,weapon_petrol_fire,causation
CASE_00006,abduction,diminished_responsibility
CASE_00006,location_public_space,self_defence_legal
CASE_00006,location_public_space,alibi_claim
CASE_00006,search_history_weapons_or_poison,planning_premeditation
CASE_00006,weapon_sharp,lawful_killing_self_defence
CASE_00006,planning_premeditation,lawful_killing_self_defence
CASE_00006,weapon_firearm,assault_method_blunt_force
CASE_00006,prior_assault,assault_method_stabbing
CASE_00006,assault_method_stabbing,prior_threats
CASE_00006,alibi_claim,accessory_or_complicity
CASE_00006,weapon_blunt,alibi_claim
CASE_00006,victim_intoxicated,motive_financial_gain
CASE_00006,wound_sharp_force,encounter
CASE_00006,weapon_sharp,injury_defensive_wounds
CASE_00006,motive_jealousy_revenge,alibi_claim
CASE_00006,prior_assault,murder
CASE_00006,injury_defensive_wounds,wound_sharp_force
CASE_00006,assault_method_stabbing,mens_rea_intent_to_kill
CASE_00006,weapon_present,accessory_or_complicity
CASE_00006,assault_method_stabbing,wound_sharp_force
CASE_00006,weapon_firearm,weapon_present
CASE_00006,prior_assault,weapon_blunt
CASE_00006,flight_after_offence,confession_third_party
CASE_00006,motive_jealousy_revenge,strangulation
CASE_00006,alibi_claim,confession_or_admission
CASE_00006,confession_or_admission,victim_intoxicated
CASE_00006,alibi_claim,planning_premeditation
