canonical_label,synonyms_and_variants
abduction,"kidnap, bundled into the boot, forced into the car, taken against their will, forcibly removed, unlawfully confined, snatched away, coerced into a vehicle, held captive, transported without consent, abducted from the street, dragged into the car, seized by force, taken by threat, imprisoned unlawfully, forced abduction, taken under duress, kidnapped from public view, removed from their location, taken forcibly, held against their will, taken without permission, taken in a vehicle"
alibi_claim,"alibi, claimed to be elsewhere, false alibi, provided an alibi, asserted he was not present, claimed to be at another location, denied involvement at the scene, offered a false alibi, maintained he was elsewhere, claimed to have an alibi, stated he was away, presented an alibi defense, testified to being elsewhere, alibi witness corroborated, claimed to be with friends, argued he was not there, asserted he was out of town, denied being at the crime scene, provided evidence of whereabouts, testified about his location, maintained he was not involved, offered testimony of absence"
assault_method_blunt_force,"blunt force, beat, battered, struck with a heavy object, hit with a blunt instrument, pounded with fists, attacked with a club, bludgeoned to death, beaten with a stick, assaulted with a bat, smashed with a brick, thumped repeatedly, whacked with a hammer, blunt trauma injuries, delivered a heavy blow, brutally beaten, hit hard, struck forcefully, violently assaulted, sustained blunt force trauma, pummeled with force, crushed with an object"
assault_method_shooting,"shot, shooting, discharged firearm, fired a gun, gunfire, opened fire, shot at, discharged a weapon, hit by gunfire, gunshot wounds, shot dead, fired shots, used a firearm, shooting incident, shot with a pistol, gun-related violence, shot from a distance, fired in self-defense, pulled the trigger, gun attack, shot in the chest, gun violence, assault with a firearm"
assault_method_stabbing,"stabbed, stabbing, knife attack, inflicted with a knife, knife wound, stabbed with a blade, assaulted with a knife, knife-related injury, stabbed in the chest, stabbed multiple times, attacked with a knife, penetrating stab wound, knife attack incident, stabbed to death, wounded with a knife, fatal stabbing, knife assault, assault with a deadly weapon, stabbed in a fit of rage, deliberate stabbing, violent knife attack, stabbed during altercation, knife-inflicted injuries"
boasting_admissions,"boasted, bragged, told friends he did it, claimed responsibility, admitted to the act, confessed to the crime, proudly stated his involvement, bragged about the killing, told others he was guilty, made a boastful admission, spoke of his actions, revealed his role in the murder, shared details of the incident, openly acknowledged his part, discussed the crime with friends, let slip his involvement, bragged about what he did, told people he was the one, made light of the situation, gloated over the act, flaunted his actions, casually mentioned the murder, proudly recounted the event"
concealment_actions,"cleaned scene, disposed of clothes, burned evidence, destroyed evidence, hidden the body, moved the remains, concealed the evidence, altered the crime scene, washed away blood, discarded the weapon, covered up the crime, staged the scene, disposed of the body, erased fingerprints, masked the evidence, obscured the truth, destroyed crucial evidence, concealed incriminating items, removed traces of the crime, cleaned up the aftermath, threw away clothes, buried the evidence, misled the investigation, tampered with evidence"
confession_third_party,"confessed to his mother, told his mother, told relative what happened, admitted to his friend, revealed to a family member, spoke to his brother, shared with his sister, disclosed to a relative, confided in a close friend, told his partner, mentioned to a neighbor, related to his aunt, informed his cousin, acknowledged to his father, expressed to a colleague, talked to a family friend, revealed to a confidant, spoke openly to his mother, confessed to a trusted friend, told his spouse, admitted to a workmate, shared his story with family, discussed with a close relative"
defendant_intoxicated,"intoxicated, under the influence, drunk, intoxication, impaired by alcohol, in a drunken state, consumed excessive alcohol, under the influence of drink, heavily intoxicated, in a state of inebriation, affected by substances, drunk at the time, intoxicated to the point of impairment, substance-induced impairment, having consumed alcohol, under the influence of alcohol, visibly intoxicated, intoxicated beyond reason, in a state of intoxication, drunken behavior, intoxicated condition, affected by drink, drunk and disorderly, intoxicated during the incident"
disposal_of_weapon,"discarded knife, hid gun, threw weapon, disposed of weapon, stashed firearm, dumped blade, hidden weapon, cast away gun, abandoned knife, disposed of firearm, got rid of weapon, threw away knife, concealed gun, discarded firearm, left behind weapon, sought to hide knife, buried gun, tossed weapon, relinquished blade, sacrificed firearm, hidden blade, threw away weapon, secreted gun, discarded tool"
