case_id,src_label,dst_label,count
CASE_00006,actus_reus_killing,assault_method_shooting,4
CASE_00006,actus_reus_killing,location_public_space,2
CASE_00006,actus_reus_killing,murder,30
CASE_00006,actus_reus_killing,weapon_firearm,5
CASE_00006,actus_reus_killing,weapon_sharp,1
CASE_00006,assault_method_shooting,actus_reus_killing,4
CASE_00006,assault_method_shooting,assault_method_shooting,12
CASE_00006,assault_method_shooting,location_public_space,8
CASE_00006,assault_method_shooting,murder,120
CASE_00006,assault_method_shooting,weapon_firearm,20
CASE_00006,assault_method_shooting,weapon_sharp,4
CASE_00006,location_public_space,actus_reus_killing,2
CASE_00006,location_public_space,assault_method_shooting,8
CASE_00006,location_public_space,location_public_space,2
CASE_00006,location_public_space,murder,60
CASE_00006,location_public_space,weapon_firearm,10
CASE_00006,location_public_space,weapon_sharp,2
CASE_00006,murder,actus_reus_killing,30
CASE_00006,murder,assault_method_shooting,120
CASE_00006,murder,location_public_space,60
CASE_00006,murder,murder,870
CASE_00006,murder,weapon_firearm,150
CASE_00006,murder,weapon_sharp,30
CASE_00006,weapon_firearm,actus_reus_killing,5
CASE_00006,weapon_firearm,assault_method_shooting,20
CASE_00006,weapon_firearm,location_public_space,10
CASE_00006,weapon_firearm,murder,150
CASE_00006,weapon_firearm,weapon_firearm,20
CASE_00006,weapon_firearm,weapon_sharp,5
CASE_00006,weapon_sharp,actus_reus_killing,1
CASE_00006,weapon_sharp,assault_method_shooting,4
CASE_00006,weapon_sharp,location_public_space,2
CASE_00006,weapon_sharp,murder,30
CASE_00006,weapon_sharp,weapon_firearm,5
CASE_00007,accessory_or_complicity,accessory_or_complicity,6
CASE_00007,accessory_or_complicity,actus_reus_killing,3
CASE_00007,accessory_or_complicity,causation,6
CASE_00007,accessory_or_complicity,confession_or_admission,3
CASE_00007,accessory_or_complicity,joint_enterprise_presence,3
CASE_00007,accessory_or_complicity,location_public_space,3
CASE_00007,accessory_or_complicity,mens_rea_intent_to_kill,18
CASE_00007,accessory_or_complicity,murder,87
CASE_00007,accessory_or_complicity,planning_premeditation,6
CASE_00007,accessory_or_complicity,unlawful_killing,3
CASE_00007,actus_reus_killing,accessory_or_complicity,3
CASE_00007,actus_reus_killing,causation,2
CASE_00007,actus_reus_killing,confession_or_admission,1
CASE_00007,actus_reus_killing,joint_enterprise_presence,1
CASE_00007,actus_reus_killing,location_public_space,1
CASE_00007,actus_reus_killing,mens_rea_intent_to_kill,6
CASE_00007,actus_reus_killing,murder,29
CASE_00007,actus_reus_killing,planning_premeditation,2
CASE_00007,actus_reus_killing,unlawful_killing,1
CASE_00007,causation,accessory_or_complicity,6
CASE_00007,causation,actus_reus_killing,2
CASE_00007,causation,causation,2
CASE_00007,causation,confession_or_admission,2
CASE_00007,causation,joint_enterprise_presence,2
CASE_00007,causation,location_public_space,2
CASE_00007,causation,mens_rea_intent_to_kill,12
CASE_00007,causation,murder,58
CASE_00007,causation,planning_premeditation,4
CASE_00007,causation,unlawful_killing,2
CASE_00007,confession_or_admission,accessory_or_complicity,3
CASE_00007,confession_or_admission,actus_reus_killing,1
CASE_00007,confession_or_admission,causation,2
CASE_00007,confession_or_admission,joint_enterprise_presence,1
CASE_00007,confession_or_admission,location_public_space,1
CASE_00007,confession_or_admission,mens_rea_intent_to_kill,6
CASE_00007,confession_or_admission,murder,29
CASE_00007,confession_or_admission,planning_premeditation,2
CASE_00007,confession_or_admission,unlawful_killing,1
CASE_00007,joint_enterprise_presence,accessory_or_complicity,3
CASE_00007,joint_enterprise_presence,actus_reus_killing,1
CASE_00007,joint_enterprise_presence,causation,2
CASE_00007,joint_enterprise_presence,confession_or_admission,1
CASE_00007,joint_enterprise_presence,location_public_space,1
CASE_00007,joint_enterprise_presence,mens_rea_intent_to_kill,6
CASE_00007,joint_enterprise_presence,murder,29
CASE_00007,joint_enterprise_presence,planning_premeditation,2
CASE_00007,joint_enterprise_presence,unlawful_killing,1
CASE_00007,location_public_space,accessory_or_complicity,3
CASE_00007,location_public_space,actus_reus_killing,1
CASE_00007,location_public_space,causation,2
CASE_00007,location_public_space,confession_or_admission,1
CASE_00007,location_public_space,joint_enterprise_presence,1
CASE_00007,location_public_space,mens_rea_intent_to_kill,6
CASE_00007,location_public_space,murder,29
CASE_00007,location_public_space,planning_premeditation,2
CASE_00007,location_public_space,unlawful_killing,1
CASE_00007,mens_rea_intent_to_kill,accessory_or_complicity,18
CASE_00007,mens_rea_intent_to_kill,actus_reus_killing,6
CASE_00007,mens_rea_intent_to_kill,causation,12
CASE_00007,mens_rea_intent_to_kill,confession_or_admission,6
CASE_00007,mens_rea_intent_to_kill,joint_enterprise_presence,6
CASE_00007,mens_rea_intent_to_kill,location_public_space,6
CASE_00007,mens_rea_intent_to_kill,mens_rea_intent_to_kill,30
CASE_00007,mens_rea_intent_to_kill,murder,174
CASE_00007,mens_rea_intent_to_kill,planning_premeditation,12
CASE_00007,mens_rea_intent_to_kill,unlawful_killing,6
CASE_00007,murder,accessory_or_complicity,87
CASE_00007,murder,actus_reus_killing,29
CASE_00007,murder,causation,58
CASE_00007,murder,confession_or_admission,29
CASE_00007,murder,joint_enterprise_presence,29
CASE_00007,murder,location_public_space,29
CASE_00007,murder,mens_rea_intent_to_kill,174
CASE_00007,murder,murder,812
CASE_00007,murder,planning_premeditation,58
CASE_00007,murder,unlawful_killing,29
CASE_00007,planning_premeditation,accessory_or_complicity,6
CASE_00007,planning_premeditation,actus_reus_killing,2
CASE_00007,planning_premeditation,causation,4
CASE_00007,planning_premeditation,confession_or_admission,2
CASE_00007,planning_premeditation,joint_enterprise_presence,2
CASE_00007,planning_premeditation,location_public_space,2
CASE_00007,planning_premeditation,mens_rea_intent_to_kill,12
CASE_00007,planning_premeditation,murder,58
CASE_00007,planning_premeditation,planning_premeditation,2
CASE_00007,planning_premeditation,unlawful_killing,2
CASE_00007,unlawful_killing,accessory_or_complicity,3
CASE_00007,unlawful_killing,actus_reus_killing,1
CASE_00007,unlawful_killing,causation,2
CASE_00007,unlawful_killing,confession_or_admission,1
CASE_00007,unlawful_killing,joint_enterprise_presence,1
CASE_00007,unlawful_killing,location_public_space,1
CASE_00007,unlawful_killing,mens_rea_intent_to_kill,6
CASE_00007,unlawful_killing,murder,29
CASE_00007,unlawful_killing,planning_premeditation,2
CASE_00019,accessory_or_complicity,accessory_or_complicity,2
CASE_00045,actus_reus_killing,confession_or_admission,1
CASE_00045,actus_reus_killing,location_private_dwelling,1
CASE_00045,actus_reus_killing,location_public_space,1
CASE_00045,actus_reus_killing,mens_rea_intent_to_kill,4
CASE_00045,actus_reus_killing,murder,10
CASE_00045,confession_or_admission,actus_reus_killing,1
CASE_00045,confession_or_admission,location_private_dwelling,1
CASE_00045,confession_or_admission,location_public_space,1
CASE_00045,confession_or_admission,mens_rea_intent_to_kill,4
CASE_00045,confession_or_admission,murder,10
CASE_00045,location_private_dwelling,actus_reus_killing,1
CASE_00045,location_private_dwelling,confession_or_admission,1
CASE_00045,location_private_dwelling,location_public_space,1
CASE_00045,location_private_dwelling,mens_rea_intent_to_kill,4
CASE_00045,location_private_dwelling,murder,10
CASE_00045,location_public_space,actus_reus_killing,1
CASE_00045,location_public_space,confession_or_admission,1
CASE_00045,location_public_space,location_private_dwelling,1
CASE_00045,location_public_space,mens_rea_intent_to_kill,4
CASE_00045,location_public_space,murder,10
CASE_00045,mens_rea_intent_to_kill,actus_reus_killing,4
CASE_00045,mens_rea_intent_to_kill,confession_or_admission,4
CASE_00045,mens_rea_intent_to_kill,location_private_dwelling,4
CASE_00045,mens_rea_intent_to_kill,location_public_space,4
CASE_00045,mens_rea_intent_to_kill,mens_rea_intent_to_kill,12
CASE_00045,mens_rea_intent_to_kill,murder,40
CASE_00045,murder,actus_reus_killing,10
CASE_00045,murder,confession_or_admission,10
CASE_00045,murder,location_private_dwelling,10
CASE_00045,murder,location_public_space,10
CASE_00045,murder,mens_rea_intent_to_kill,40
CASE_00045,murder,murder,90
CASE_00061,accessory_or_complicity,accessory_or_complicity,1560
CASE_00061,accessory_or_complicity,actus_reus_killing,240
CASE_00061,accessory_or_complicity,assault_method_blunt_force,80
CASE_00061,accessory_or_complicity,assault_method_shooting,80
CASE_00061,accessory_or_complicity,assault_method_stabbing,40
CASE_00061,accessory_or_complicity,causation,40
CASE_00061,accessory_or_complicity,confession_or_admission,40
CASE_00061,accessory_or_complicity,joint_enterprise_presence,160
CASE_00061,accessory_or_complicity,lawful_killing_self_defence,80
CASE_00061,accessory_or_complicity,location_public_space,160
CASE_00061,accessory_or_complicity,murder,1520
CASE_00061,accessory_or_complicity,planning_premeditation,120
CASE_00061,accessory_or_complicity,self_defence_legal,40
CASE_00061,accessory_or_complicity,unlawful_killing,160
CASE_00061,accessory_or_complicity,weapon_firearm,80
CASE_00061,accessory_or_complicity,weapon_present,360
CASE_00061,accessory_or_complicity,weapon_sharp,520
CASE_00061,actus_reus_killing,accessory_or_complicity,240
CASE_00061,actus_reus_killing,actus_reus_killing,30
CASE_00061,actus_reus_killing,assault_method_blunt_force,12
