src_label,dst_label,support_cases,obs_count,mean_score,max_score,src_type,dst_type
murder,murder,101,26964,0.32699117341640704,0.57,legal_facts,legal_facts
confession_or_admission,murder,60,5411,0.5268410644982443,0.82,evidence,legal_facts
murder,confession_or_admission,60,5411,0.2932868231380521,0.52,legal_facts,evidence
location_public_space,murder,56,5417,0.6299582794904929,0.92,narrative,legal_facts
murder,location_public_space,56,5417,0.26423241646667894,0.47,legal_facts,narrative
murder,actus_reus_killing,47,3204,0.32008614232209737,0.57,legal_facts,legal_facts
actus_reus_killing,murder,47,3204,0.3199831460674157,0.57,legal_facts,legal_facts
location_public_space,confession_or_admission,41,1466,0.5941132332878581,0.87,narrative,evidence
confession_or_admission,location_public_space,41,1466,0.389381309686221,0.62,evidence,narrative
location_public_space,location_public_space,38,1558,0.35741463414634145,0.42,narrative,narrative
weapon_firearm,murder,36,13075,0.6238369407265774,0.92,narrative,legal_facts
murder,weapon_firearm,36,13075,0.26169613766730404,0.47,legal_facts,narrative
location_public_space,actus_reus_killing,35,618,0.6324385113268608,0.77,narrative,legal_facts
actus_reus_killing,location_public_space,35,618,0.2649546925566343,0.32,legal_facts,narrative
confession_or_admission,confession_or_admission,31,1982,0.32859434914228053,0.46,evidence,evidence
confession_or_admission,actus_reus_killing,30,676,0.5128609467455622,0.67,evidence,legal_facts
actus_reus_killing,confession_or_admission,30,676,0.2854156804733728,0.37,legal_facts,evidence
assault_method_shooting,murder,28,7929,0.6175941480640685,0.92,narrative,legal_facts
murder,assault_method_shooting,28,7929,0.25928452516080214,0.47,legal_facts,narrative
weapon_sharp,murder,27,4613,0.5803667895079124,0.92,narrative,legal_facts
murder,weapon_sharp,27,4613,0.24461456752655536,0.47,legal_facts,narrative
joint_enterprise_presence,murder,25,1502,0.6300978695073236,0.92,narrative,legal_facts
planning_premeditation,murder,25,2708,0.5982045790251107,0.92,narrative,legal_facts
murder,diminished_responsibility,25,2282,0.29637773882559154,0.57,legal_facts,legal_facts
diminished_responsibility,murder,25,2282,0.2963453111305872,0.57,legal_facts,legal_facts
diminished_responsibility,diminished_responsibility,25,3050,0.27825967213114755,0.57,legal_facts,legal_facts
murder,joint_enterprise_presence,25,1502,0.2645758988015979,0.47,legal_facts,narrative
murder,planning_premeditation,25,2708,0.2515288035450517,0.47,legal_facts,narrative
joint_enterprise_presence,location_public_space,23,366,0.35949453551912564,0.46,narrative,narrative
location_public_space,joint_enterprise_presence,23,366,0.35927595628415304,0.44,narrative,narrative
weapon_sharp,location_public_space,23,772,0.32281088082901555,0.57,narrative,narrative
location_public_space,weapon_sharp,23,772,0.3225129533678756,0.57,narrative,narrative
accessory_or_complicity,murder,22,2719,0.30091945568223616,0.57,legal_facts,legal_facts
murder,accessory_or_complicity,22,2719,0.30091945568223616,0.57,legal_facts,legal_facts
joint_enterprise_presence,confession_or_admission,21,309,0.6143689320388349,0.76,narrative,evidence
confession_or_admission,joint_enterprise_presence,21,309,0.402084142394822,0.49,evidence,narrative
location_public_space,planning_premeditation,21,570,0.3401017543859649,0.57,narrative,narrative
planning_premeditation,location_public_space,21,570,0.3401017543859649,0.57,narrative,narrative
weapon_present,murder,20,1965,0.6139826972010177,0.92,narrative,legal_facts
weapon_firearm,confession_or_admission,20,2718,0.5934448123620308,0.87,narrative,evidence
