case_id,url,source_csv,error,raw_response
CASE_00032,https://www.bailii.org/ew/cases/EWCA/Crim/2022/1063.html,/Users/jennatieby/Desktop/Criminal_Cases_BN/data/interim/uk_cases_full.cleaned.csv,"Error code: 429 - {'error': {'message': 'Request too large for gpt-4o in organization org-nBmU8HwNDIYRq8qIRjAkaxKg on tokens per min (TPM): Limit 30000, Requested 31452. The input or output tokens must be reduced in order to run successfully. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",
CASE_00124,https://www.bailii.org/ew/cases/EWCA/Crim/2015/3.html,/Users/jennatieby/Desktop/Criminal_Cases_BN/data/interim/uk_cases_full.cleaned.csv,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-nBmU8HwNDIYRq8qIRjAkaxKg on tokens per min (TPM): Limit 30000, Used 27872, Requested 6226. Please try again in 8.196s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",
CASE_00125,https://www.bailii.org/ew/cases/EWCA/Crim/2009/651.html,/Users/jennatieby/Desktop/Criminal_Cases_BN/data/interim/uk_cases_full.cleaned.csv,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-nBmU8HwNDIYRq8qIRjAkaxKg on tokens per min (TPM): Limit 30000, Used 26844, Requested 5917. Please try again in 5.522s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",
CASE_00132,https://www.bailii.org/ew/cases/EWCA/Crim/2005/2513.html,/Users/jennatieby/Desktop/Criminal_Cases_BN/data/interim/uk_cases_full.cleaned.csv,"Could not parse JSON from response: ""I'm sorry, but I can't assist with that request.""",
CASE_00126,https://www.bailii.org/ew/cases/EWCA/Crim/2014/188.html,/Users/jennatieby/Desktop/Criminal_Cases_BN/data/interim/uk_cases_full.cleaned.csv,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-nBmU8HwNDIYRq8qIRjAkaxKg on tokens per min (TPM): Limit 30000, Used 26045, Requested 10603. Please try again in 13.296s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",
CASE_00127,https://www.bailii.org/ew/cases/EWCA/Crim/2024/291.html,/Users/jennatieby/Desktop/Criminal_Cases_BN/data/interim/uk_cases_full.cleaned.csv,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-nBmU8HwNDIYRq8qIRjAkaxKg on tokens per min (TPM): Limit 30000, Used 29580, Requested 5593. Please try again in 10.346s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",
CASE_00128,https://www.bailii.org/ew/cases/EWCA/Crim/2016/95.html,/Users/jennatieby/Desktop/Criminal_Cases_BN/data/interim/uk_cases_full.cleaned.csv,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-nBmU8HwNDIYRq8qIRjAkaxKg on tokens per min (TPM): Limit 30000, Used 29491, Requested 13039. Please try again in 25.06s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",
CASE_00130,https://www.bailii.org/ew/cases/EWCA/Crim/2019/1354.html,/Users/jennatieby/Desktop/Criminal_Cases_BN/data/interim/uk_cases_full.cleaned.csv,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-nBmU8HwNDIYRq8qIRjAkaxKg on tokens per min (TPM): Limit 30000, Used 27171, Requested 4831. Please try again in 4.004s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",
CASE_00131,https://www.bailii.org/ew/cases/EWCA/Crim/2014/1196.html,/Users/jennatieby/Desktop/Criminal_Cases_BN/data/interim/uk_cases_full.cleaned.csv,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-nBmU8HwNDIYRq8qIRjAkaxKg on tokens per min (TPM): Limit 30000, Used 28072, Requested 10047. Please try again in 16.238s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",
CASE_00132,https://www.bailii.org/ew/cases/EWCA/Crim/2005/2513.html,/Users/jennatieby/Desktop/Criminal_Cases_BN/data/interim/uk_cases_full.cleaned.csv,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-nBmU8HwNDIYRq8qIRjAkaxKg on tokens per min (TPM): Limit 30000, Used 28206, Requested 7094. Please try again in 10.6s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",
CASE_00133,https://www.bailii.org/ew/cases/EWCA/Crim/2005/2951.html,/Users/jennatieby/Desktop/Criminal_Cases_BN/data/interim/uk_cases_full.cleaned.csv,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-nBmU8HwNDIYRq8qIRjAkaxKg on tokens per min (TPM): Limit 30000, Used 26236, Requested 6357. Please try again in 5.186s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",
CASE_00136,https://www.bailii.org/ew/cases/EWCA/Crim/2023/231.html,/Users/jennatieby/Desktop/Criminal_Cases_BN/data/interim/uk_cases_full.cleaned.csv,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-nBmU8HwNDIYRq8qIRjAkaxKg on tokens per min (TPM): Limit 30000, Used 30000, Requested 468. Please try again in 936ms. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",
CASE_00137,https://www.bailii.org/ew/cases/EWCA/Crim/2010/1691.html,/Users/jennatieby/Desktop/Criminal_Cases_BN/data/interim/uk_cases_full.cleaned.csv,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-nBmU8HwNDIYRq8qIRjAkaxKg on tokens per min (TPM): Limit 30000, Used 30000, Requested 16417. Please try again in 32.834s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",
