case_id,label,type,count
CASE_00006,actus_reus_killing,legal_facts,1
CASE_00006,assault_method_shooting,narrative,4
CASE_00006,location_public_space,narrative,2
CASE_00006,murder,legal_facts,30
CASE_00006,weapon_firearm,narrative,5
CASE_00006,weapon_sharp,narrative,1
CASE_00007,accessory_or_complicity,legal_facts,3
CASE_00007,actus_reus_killing,legal_facts,1
CASE_00007,causation,legal_facts,2
CASE_00007,confession_or_admission,evidence,1
CASE_00007,joint_enterprise_presence,narrative,1
CASE_00007,location_public_space,narrative,1
CASE_00007,mens_rea_intent_to_kill,legal_facts,6
CASE_00007,murder,legal_facts,29
CASE_00007,planning_premeditation,narrative,2
CASE_00007,unlawful_killing,legal_facts,1
CASE_00019,accessory_or_complicity,legal_facts,2
CASE_00045,actus_reus_killing,legal_facts,1
CASE_00045,confession_or_admission,evidence,1
CASE_00045,location_private_dwelling,narrative,1
CASE_00045,location_public_space,narrative,1
CASE_00045,mens_rea_intent_to_kill,legal_facts,4
CASE_00045,murder,legal_facts,10
CASE_00061,accessory_or_complicity,legal_facts,40
CASE_00061,actus_reus_killing,legal_facts,6
CASE_00061,assault_method_blunt_force,narrative,2
CASE_00061,assault_method_shooting,narrative,2
CASE_00061,assault_method_stabbing,narrative,1
CASE_00061,causation,legal_facts,1
CASE_00061,confession_or_admission,evidence,1
CASE_00061,joint_enterprise_presence,narrative,4
CASE_00061,lawful_killing_self_defence,legal_facts,2
CASE_00061,location_public_space,narrative,4
CASE_00061,murder,legal_facts,38
CASE_00061,planning_premeditation,narrative,3
CASE_00061,self_defence_legal,legal_facts,1
CASE_00061,unlawful_killing,legal_facts,4
CASE_00061,weapon_firearm,narrative,2
CASE_00061,weapon_present,narrative,9
CASE_00061,weapon_sharp,narrative,13
CASE_00108,accessory_or_complicity,legal_facts,1
CASE_00108,assault_method_shooting,narrative,5
CASE_00108,motive_jealousy_revenge,narrative,2
CASE_00108,murder,legal_facts,27
CASE_00108,planning_premeditation,narrative,12
CASE_00108,weapon_firearm,narrative,33
CASE_00108,weapon_present,narrative,1
CASE_00114,abduction,narrative,2
CASE_00114,actus_reus_killing,legal_facts,10
CASE_00114,assault_method_shooting,narrative,31
CASE_00114,causation,legal_facts,26
CASE_00114,confession_or_admission,evidence,1
CASE_00114,joint_enterprise_presence,narrative,3
CASE_00114,location_public_space,narrative,7
CASE_00114,mens_rea_intent_to_kill,legal_facts,3
CASE_00114,murder,legal_facts,36
CASE_00114,prior_threats,narrative,1
CASE_00114,self_defence_legal,legal_facts,18
CASE_00114,unlawful_killing,legal_facts,3
CASE_00114,weapon_firearm,narrative,30
CASE_00114,weapon_present,narrative,9
CASE_00116,accessory_or_complicity,legal_facts,9
CASE_00116,assault_method_blunt_force,narrative,2
CASE_00116,assault_method_stabbing,narrative,2
CASE_00116,confession_or_admission,evidence,2
CASE_00116,joint_enterprise_presence,narrative,1
CASE_00116,location_public_space,narrative,10
CASE_00116,loss_of_control,legal_facts,2
CASE_00116,mens_rea_intent_to_kill,legal_facts,2
CASE_00116,murder,legal_facts,33
CASE_00116,unlawful_killing,legal_facts,1
CASE_00116,weapon_blunt,narrative,1
CASE_00116,weapon_firearm,narrative,2
CASE_00116,weapon_present,narrative,1
CASE_00116,weapon_sharp,narrative,22
CASE_00133,accessory_or_complicity,legal_facts,3
CASE_00133,actus_reus_killing,legal_facts,1
CASE_00133,confession_or_admission,evidence,1
CASE_00133,joint_enterprise_presence,narrative,1
CASE_00133,location_public_space,narrative,1
CASE_00133,murder,legal_facts,17
CASE_00133,weapon_firearm,narrative,1
CASE_00133,weapon_sharp,narrative,1
CASE_00144,actus_reus_killing,legal_facts,2
CASE_00144,assault_method_shooting,narrative,2
CASE_00144,assault_method_stabbing,narrative,1
CASE_00144,causation,legal_facts,1
CASE_00144,murder,legal_facts,19
CASE_00144,weapon_firearm,narrative,1
CASE_00144,weapon_present,narrative,1
CASE_00144,weapon_sharp,narrative,21
CASE_00144,wound_sharp_force,evidence,1
CASE_00156,actus_reus_killing,legal_facts,4
CASE_00156,alibi_claim,narrative,2
CASE_00156,assault_method_blunt_force,narrative,8
CASE_00156,assault_method_stabbing,narrative,12
CASE_00156,confession_or_admission,evidence,5
CASE_00156,defendant_intoxicated,narrative,3
CASE_00156,encounter,narrative,1
CASE_00156,joint_enterprise_presence,narrative,2
CASE_00156,location_public_space,narrative,5
CASE_00156,motive_jealousy_revenge,narrative,4
CASE_00156,murder,legal_facts,32
CASE_00156,self_defence_legal,legal_facts,2
CASE_00156,weapon_present,narrative,2
CASE_00156,weapon_sharp,narrative,14
CASE_00156,wound_sharp_force,evidence,1
CASE_00158,actus_reus_killing,legal_facts,3
CASE_00158,diminished_responsibility,legal_facts,10
CASE_00158,insanity,legal_facts,1
CASE_00158,location_public_space,narrative,2
CASE_00158,mens_rea_intent_to_kill,legal_facts,2
CASE_00158,murder,legal_facts,26
CASE_00158,poisoning,narrative,1
CASE_00158,unlawful_killing,legal_facts,3
CASE_00191,confession_or_admission,evidence,1
CASE_00191,diminished_responsibility,legal_facts,6
CASE_00191,location_public_space,narrative,1
CASE_00191,murder,legal_facts,4
CASE_00193,diminished_responsibility,legal_facts,6
CASE_00193,encounter,narrative,1
CASE_00193,joint_enterprise_presence,narrative,1
CASE_00193,location_public_space,narrative,1
CASE_00193,murder,legal_facts,2
CASE_00203,actus_reus_killing,legal_facts,1
CASE_00203,assault_method_blunt_force,narrative,2
CASE_00203,defendant_intoxicated,narrative,1
CASE_00203,diminished_responsibility,legal_facts,2
CASE_00203,lawful_killing_self_defence,legal_facts,1
CASE_00203,mens_rea_intent_to_kill,legal_facts,3
CASE_00203,murder,legal_facts,12
CASE_00203,strangulation,narrative,2
CASE_00203,unlawful_killing,legal_facts,2
CASE_00203,victim_intoxicated,narrative,1
CASE_00216,abduction,narrative,3
CASE_00216,alibi_claim,narrative,9
CASE_00216,assault_method_shooting,narrative,1
CASE_00216,confession_or_admission,evidence,7
CASE_00216,encounter,narrative,1
CASE_00216,joint_enterprise_presence,narrative,4
CASE_00216,location_public_space,narrative,11
CASE_00216,motive_jealousy_revenge,narrative,1
CASE_00216,murder,legal_facts,29
CASE_00216,planning_premeditation,narrative,7
CASE_00216,weapon_firearm,narrative,11
CASE_00216,weapon_petrol_fire,narrative,1
CASE_00225,accessory_or_complicity,legal_facts,8
CASE_00225,assault_method_blunt_force,narrative,1
CASE_00225,assault_method_stabbing,narrative,1
CASE_00225,confession_or_admission,evidence,2
CASE_00225,defendant_intoxicated,narrative,1
CASE_00225,encounter,narrative,2
CASE_00225,flight_after_offence,narrative,3
CASE_00225,location_public_space,narrative,6
CASE_00225,murder,legal_facts,23
CASE_00225,planning_premeditation,narrative,7
CASE_00225,strangulation,narrative,1
CASE_00225,unlawful_killing,legal_facts,1
CASE_00225,weapon_sharp,narrative,2
CASE_00225,withdrawal_effective,legal_facts,1
CASE_00232,accessory_or_complicity,legal_facts,3
CASE_00232,actus_reus_killing,legal_facts,9
CASE_00232,alibi_claim,narrative,1
CASE_00232,assault_method_blunt_force,narrative,1
CASE_00232,confession_or_admission,evidence,2
CASE_00232,encounter,narrative,1
CASE_00232,location_private_dwelling,narrative,3
CASE_00232,location_public_space,narrative,1
CASE_00232,murder,legal_facts,21
CASE_00232,planning_premeditation,narrative,4
CASE_00232,weapon_blunt,narrative,1
CASE_00232,weapon_sharp,narrative,2
CASE_00270,actus_reus_killing,legal_facts,4
CASE_00270,assault_method_blunt_force,narrative,2
CASE_00270,confession_or_admission,evidence,1
CASE_00270,diminished_responsibility,legal_facts,42
CASE_00270,joint_enterprise_presence,narrative,2
CASE_00270,mens_rea_intent_to_kill,legal_facts,2
CASE_00270,motive_jealousy_revenge,narrative,1
CASE_00270,murder,legal_facts,32
CASE_00270,planning_premeditation,narrative,2
CASE_00270,poisoning,narrative,6
CASE_00302,accessory_or_complicity,legal_facts,2
CASE_00302,actus_reus_killing,legal_facts,1
CASE_00302,assault_method_stabbing,narrative,2
CASE_00302,boasting_admissions,narrative,1
CASE_00302,confession_or_admission,evidence,4
CASE_00302,joint_enterprise_presence,narrative,1
CASE_00302,location_public_space,narrative,1
CASE_00302,murder,legal_facts,9
CASE_00302,weapon_sharp,narrative,6
CASE_00302,wound_sharp_force,evidence,3
CASE_00303,accessory_or_complicity,legal_facts,1
CASE_00303,confession_or_admission,evidence,2
CASE_00303,defendant_intoxicated,narrative,1
CASE_00303,joint_enterprise_presence,narrative,1
CASE_00303,location_public_space,narrative,1
CASE_00303,murder,legal_facts,9
CASE_00303,self_defence_legal,legal_facts,6
CASE_00303,weapon_sharp,narrative,4
CASE_00313,alibi_claim,narrative,1
CASE_00313,assault_method_stabbing,narrative,1
CASE_00313,confession_or_admission,evidence,3
CASE_00313,joint_enterprise_presence,narrative,2
CASE_00313,location_public_space,narrative,4
CASE_00313,mens_rea_intent_to_kill,legal_facts,1
CASE_00313,motive_jealousy_revenge,narrative,1
CASE_00313,murder,legal_facts,9
CASE_00313,planning_premeditation,narrative,3
CASE_00313,prior_assault,narrative,1
CASE_00313,weapon_blunt,narrative,3
CASE_00313,weapon_firearm,narrative,11
CASE_00313,weapon_present,narrative,2
CASE_00316,actus_reus_killing,legal_facts,2
CASE_00316,assault_method_stabbing,narrative,6
CASE_00316,confession_or_admission,evidence,1
CASE_00316,defendant_intoxicated,narrative,40
CASE_00316,location_public_space,narrative,2
CASE_00316,manslaughter_unlawful_act,legal_facts,1
CASE_00316,mens_rea_intent_to_kill,legal_facts,8
CASE_00316,murder,legal_facts,18
CASE_00316,self_defence_legal,legal_facts,9
CASE_00316,unlawful_killing,legal_facts,1
CASE_00316,weapon_present,narrative,1
CASE_00316,weapon_sharp,narrative,28
CASE_00316,wound_sharp_force,evidence,2
CASE_00319,accessory_or_complicity,legal_facts,2
CASE_00323,abduction,narrative,4
CASE_00323,accessory_or_complicity,legal_facts,3
CASE_00323,actus_reus_killing,legal_facts,1
CASE_00323,alibi_claim,narrative,2
CASE_00323,assault_method_blunt_force,narrative,2
CASE_00323,assault_method_stabbing,narrative,8
CASE_00323,confession_or_admission,evidence,4
CASE_00323,injury_defensive_wounds,evidence,1
CASE_00323,joint_enterprise_presence,narrative,1
CASE_00323,location_public_space,narrative,3
CASE_00323,motive_jealousy_revenge,narrative,1
CASE_00323,murder,legal_facts,20
CASE_00323,planning_premeditation,narrative,2
CASE_00323,tied_restraint,narrative,1
CASE_00323,weapon_sharp,narrative,15
CASE_00323,wound_sharp_force,evidence,1
CASE_00342,weapon_petrol_fire,narrative,2
CASE_00368,actus_reus_killing,legal_facts,1
CASE_00368,defendant_intoxicated,narrative,13
CASE_00368,location_public_space,narrative,1
CASE_00368,murder,legal_facts,8
CASE_00368,prior_conflict,narrative,1
CASE_00368,self_defence_legal,legal_facts,14
CASE_00370,location_public_space,narrative,3
CASE_00370,murder,legal_facts,2
CASE_00370,planning_premeditation,narrative,1
CASE_00381,location_public_space,narrative,1
CASE_00381,murder,legal_facts,1
CASE_00392,actus_reus_killing,legal_facts,10
CASE_00392,alibi_claim,narrative,17
CASE_00392,assault_method_shooting,narrative,41
CASE_00392,boasting_admissions,narrative,1
CASE_00392,confession_or_admission,evidence,19
CASE_00392,encounter,narrative,1
CASE_00392,joint_enterprise_presence,narrative,5
CASE_00392,location_private_dwelling,narrative,1
CASE_00392,location_public_space,narrative,13
CASE_00392,murder,legal_facts,60
CASE_00392,planning_premeditation,narrative,10
CASE_00392,weapon_blunt,narrative,2
CASE_00392,weapon_firearm,narrative,96
CASE_00392,weapon_present,narrative,12
CASE_00393,actus_reus_killing,legal_facts,6
CASE_00393,assault_method_blunt_force,narrative,1
CASE_00393,confession_or_admission,evidence,4
CASE_00393,diminished_responsibility,legal_facts,2
CASE_00393,insanity,legal_facts,1
CASE_00393,joint_enterprise_presence,narrative,1
CASE_00393,location_public_space,narrative,2
CASE_00393,murder,legal_facts,19
CASE_00393,weapon_firearm,narrative,1
CASE_00417,actus_reus_killing,legal_facts,4
CASE_00417,alibi_claim,narrative,15
CASE_00417,assault_method_shooting,narrative,12
CASE_00417,assault_method_stabbing,narrative,1
CASE_00417,boasting_admissions,narrative,1
CASE_00417,confession_or_admission,evidence,18
CASE_00417,defendant_intoxicated,narrative,2
CASE_00417,lawful_killing_self_defence,legal_facts,1
CASE_00417,location_private_dwelling,narrative,1
CASE_00417,location_public_space,narrative,4
CASE_00417,murder,legal_facts,46
CASE_00417,unlawful_killing,legal_facts,2
CASE_00417,weapon_sharp,narrative,18
CASE_00417,wound_sharp_force,evidence,1
CASE_00421,accessory_or_complicity,legal_facts,3
CASE_00421,actus_reus_killing,legal_facts,3
CASE_00421,causation,legal_facts,1
CASE_00421,confession_or_admission,evidence,4
CASE_00421,location_public_space,narrative,2
CASE_00421,murder,legal_facts,10
CASE_00421,self_defence_legal,legal_facts,8
CASE_00421,weapon_sharp,narrative,3
CASE_00437,location_public_space,narrative,2
CASE_00466,actus_reus_killing,legal_facts,1
CASE_00466,assault_method_blunt_force,narrative,2
CASE_00466,confession_or_admission,evidence,2
CASE_00466,location_private_dwelling,narrative,2
CASE_00466,location_public_space,narrative,1
CASE_00466,murder,legal_facts,8
CASE_00472,actus_reus_killing,legal_facts,1
CASE_00472,confession_or_admission,evidence,1
CASE_00472,defendant_intoxicated,narrative,1
CASE_00472,location_public_space,narrative,3
CASE_00472,murder,legal_facts,2
CASE_00472,planning_premeditation,narrative,1
CASE_00472,weapon_present,narrative,1
CASE_00480,actus_reus_killing,legal_facts,1
CASE_00480,alibi_claim,narrative,7
CASE_00480,assault_method_blunt_force,narrative,2
CASE_00480,assault_method_shooting,narrative,1
CASE_00480,confession_or_admission,evidence,4
CASE_00480,defendant_intoxicated,narrative,1
CASE_00480,encounter,narrative,2
CASE_00480,location_public_space,narrative,8
CASE_00480,murder,legal_facts,26
CASE_00480,planning_premeditation,narrative,1
CASE_00480,tied_restraint,narrative,1
CASE_00486,abduction,narrative,1
CASE_00486,diminished_responsibility,legal_facts,2
CASE_00486,location_public_space,narrative,2
CASE_00486,murder,legal_facts,3
CASE_00486,weapon_sharp,narrative,1
CASE_00517,abduction,narrative,1
CASE_00517,actus_reus_killing,legal_facts,1
CASE_00517,confession_or_admission,evidence,15
CASE_00517,encounter,narrative,7
CASE_00517,financial_transactions_gain,evidence,2
CASE_00517,inconsistent_statements,evidence,1
CASE_00517,joint_enterprise_presence,narrative,3
CASE_00517,location_private_dwelling,narrative,1
CASE_00517,location_public_space,narrative,1
CASE_00517,motive_financial_gain,narrative,2
CASE_00517,murder,legal_facts,22
CASE_00517,planning_premeditation,narrative,9
CASE_00517,prior_conflict,narrative,3
CASE_00517,strangulation,narrative,3
CASE_00519,actus_reus_killing,legal_facts,1
CASE_00519,encounter,narrative,1
CASE_00519,location_private_dwelling,narrative,1
CASE_00519,location_public_space,narrative,4
CASE_00519,murder,legal_facts,13
CASE_00519,weapon_sharp,narrative,1
CASE_00519,wound_sharp_force,evidence,1
CASE_00532,joint_enterprise_presence,narrative,1
CASE_00532,location_public_space,narrative,4
CASE_00532,murder,legal_facts,2
CASE_00537,actus_reus_killing,legal_facts,8
CASE_00537,alibi_claim,narrative,1
CASE_00537,assault_method_blunt_force,narrative,1
CASE_00537,confession_or_admission,evidence,23
CASE_00537,encounter,narrative,5
CASE_00537,joint_enterprise_presence,narrative,1
CASE_00537,location_public_space,narrative,18
CASE_00537,murder,legal_facts,33
CASE_00537,planning_premeditation,narrative,6
CASE_00541,actus_reus_killing,legal_facts,1
CASE_00541,assault_method_blunt_force,narrative,1
CASE_00541,assault_method_shooting,narrative,2
CASE_00541,diminished_responsibility,legal_facts,4
CASE_00541,insanity,legal_facts,46
CASE_00541,joint_enterprise_presence,narrative,2
CASE_00541,location_public_space,narrative,4
CASE_00541,murder,legal_facts,7
CASE_00541,weapon_firearm,narrative,1
CASE_00541,weapon_present,narrative,2
CASE_00565,assault_method_blunt_force,narrative,2
CASE_00565,assault_method_shooting,narrative,1
CASE_00565,encounter,narrative,1
CASE_00565,joint_enterprise_presence,narrative,1
CASE_00565,loss_of_control,legal_facts,30
CASE_00565,motive_jealousy_revenge,narrative,1
CASE_00565,murder,legal_facts,7
