phrase_type,phrase,cases_with,occurrences
noun_chunk,he,33,284
noun_chunk,murder,35,275
noun_chunk,which,35,198
noun_chunk,it,29,166
noun_chunk,manslaughter,19,109
noun_chunk,the appellant,26,89
noun_chunk,they,21,86
noun_chunk,him,22,78
noun_chunk,she,14,76
noun_chunk,the jury,17,71
noun_chunk,He,22,64
noun_chunk,you,14,64
noun_chunk,that,23,62
noun_chunk,the murder,22,59
noun_chunk,I,14,50
noun_chunk,It,24,50
noun_chunk,who,16,48
noun_chunk,them,20,46
noun_chunk,the killing,19,43
noun_chunk,the time,19,39
noun_chunk,we,15,31
noun_chunk,attempted murder,8,29
noun_chunk,her,11,26
noun_chunk,the victim,11,26
noun_chunk,death,10,24
noun_chunk,the evidence,12,23
noun_chunk,the case,15,22
noun_chunk,the murders,3,22
noun_chunk,the shooting,6,22
noun_chunk,relation,9,20
noun_chunk,the defendant,6,20
noun_chunk,this,13,20
noun_chunk,the basis,8,19
noun_chunk,the stairs,1,19
noun_chunk,what,12,19
noun_chunk,the judge,10,18
noun_chunk,The appellant,11,17
noun_chunk,We,11,17
noun_chunk,evidence,11,17
noun_chunk,the appellants,6,16
noun_chunk,the direction,10,16
noun_chunk,part,6,15
noun_chunk,the course,10,15
noun_chunk,Stephen Lewis,1,14
noun_chunk,a jury,13,14
noun_chunk,the offence,12,14
noun_chunk,Craig,1,13
noun_chunk,She,8,13
noun_chunk,Sherwood,1,13
noun_chunk,a man,11,13
noun_chunk,life imprisonment,12,13
noun_chunk,me,8,13
noun_chunk,page,5,13
noun_chunk,the breakfast room,1,13
noun_chunk,the death,7,13
noun_chunk,the police,9,13
noun_chunk,this case,12,13
noun_chunk,us,10,13
noun_chunk,Mr Martin,1,12
noun_chunk,You,5,12
noun_chunk,intent,8,12
noun_chunk,section,6,12
noun_chunk,suicide,3,12
noun_chunk,the Court,10,12
noun_chunk,-,8,11
noun_chunk,Hall,1,11
noun_chunk,Mr Saunders,1,11
noun_chunk,Wearmouth,1,11
noun_chunk,count,6,11
noun_chunk,himself,6,11
noun_chunk,the shots,3,11
noun_chunk,Bachan,1,10
noun_chunk,Becerra,1,10
noun_chunk,Squeaky,1,10
noun_chunk,They,7,10
noun_chunk,a verdict,5,10
noun_chunk,both,7,10
noun_chunk,cases,5,10
noun_chunk,conspiracy,2,10
noun_chunk,mind,8,10
noun_chunk,place,8,10
noun_chunk,the Crown Court,10,10
noun_chunk,the attack,3,10
noun_chunk,the conviction,8,10
noun_chunk,the gun,4,10
noun_chunk,Lewis,1,9
noun_chunk,Surjit,1,9
noun_chunk,a charge,7,9
noun_chunk,an act,3,9
noun_chunk,grievous bodily harm,6,9
noun_chunk,"the
appellant",5,9
noun_chunk,the Crown,8,9
noun_chunk,the defence,6,9
noun_chunk,the indictment,6,9
noun_chunk,the man,6,9
noun_chunk,the prosecution,7,9
noun_chunk,trial,7,9
noun_chunk,Bangy,1,8
noun_chunk,Errol Jones,1,8
noun_chunk,Gail,1,8
noun_chunk,Mr Dada,1,8
noun_chunk,a joint enterprise,2,8
noun_chunk,another,4,8
noun_chunk,behalf,7,8
noun_chunk,diminished responsibility,6,8
noun_chunk,example,5,8
noun_chunk,joint enterprise,4,8
noun_chunk,provocation,5,8
noun_chunk,sentence,3,8
noun_chunk,the Jury,1,8
noun_chunk,the act,4,8
noun_chunk,the circumstances,7,8
noun_chunk,the facts,6,8
