case_id,label
CASE_00006,encounter
CASE_00006,prior_conflict
CASE_00006,prior_threats
CASE_00006,planning_premeditation
CASE_00006,weapon_present
CASE_00006,weapon_blunt
CASE_00006,poisoning
CASE_00006,strangulation
CASE_00006,assault_method_stabbing
CASE_00006,assault_method_blunt_force
CASE_00006,location_private_dwelling
CASE_00006,motive_financial_gain
CASE_00006,motive_jealousy_revenge
CASE_00006,defendant_intoxicated
CASE_00006,victim_intoxicated
CASE_00006,concealment_actions
CASE_00006,disposal_of_weapon
CASE_00006,flight_after_offence
CASE_00006,alibi_claim
CASE_00006,joint_enterprise_presence
CASE_00006,withdrawal_from_joint_enterprise
CASE_00006,abduction
CASE_00006,tied_restraint
CASE_00006,weapon_petrol_fire
CASE_00006,post_offence_burial
CASE_00006,boasting_admissions
CASE_00006,confession_third_party
CASE_00006,prior_assault
CASE_00006,cctv_presence
CASE_00006,cctv_attack_visible
CASE_00006,eyewitness_identification
CASE_00006,eyewitness_heard_threat
CASE_00006,dna_match_victim_on_defendant
CASE_00006,dna_match_defendant_on_weapon
CASE_00006,fingerprint_match_on_weapon
CASE_00006,gunshot_residue_gsr
CASE_00006,blood_spatter_pattern_consistent
CASE_00006,injury_defensive_wounds
CASE_00006,wound_sharp_force
CASE_00006,wound_blunt_force
CASE_00006,time_of_death_window_narrow
CASE_00006,phone_cell_site_near_scene
CASE_00006,call_logs_prior_contact
CASE_00006,messages_prior_threats
CASE_00006,search_history_weapons_or_poison
CASE_00006,purchase_record_weapon
CASE_00006,financial_transactions_gain
CASE_00006,confession_or_admission
CASE_00006,inconsistent_statements
CASE_00006,witness_self_defence_statements
CASE_00006,expert_opinion_diminished_resp
CASE_00006,medical_history_mental_impairment
CASE_00006,paragraph_marker
CASE_00006,unlawful_killing
CASE_00006,causation
CASE_00006,mens_rea_intent_to_kill
CASE_00006,mens_rea_intent_gbh
CASE_00006,self_defence_legal
CASE_00006,insanity
CASE_00006,diminished_responsibility
CASE_00006,loss_of_control
CASE_00006,duress_not_available_murder
CASE_00006,accessory_or_complicity
CASE_00006,withdrawal_effective
CASE_00006,manslaughter_diminished_resp
CASE_00006,manslaughter_loss_of_control
CASE_00006,manslaughter_unlawful_act
CASE_00006,manslaughter_gross_negligence
CASE_00006,lawful_killing_self_defence
CASE_00007,encounter
CASE_00007,prior_conflict
CASE_00007,prior_threats
CASE_00007,weapon_present
CASE_00007,weapon_firearm
CASE_00007,weapon_sharp
CASE_00007,weapon_blunt
CASE_00007,poisoning
CASE_00007,strangulation
CASE_00007,assault_method_stabbing
CASE_00007,assault_method_shooting
CASE_00007,assault_method_blunt_force
CASE_00007,location_private_dwelling
CASE_00007,motive_financial_gain
CASE_00007,motive_jealousy_revenge
CASE_00007,defendant_intoxicated
CASE_00007,victim_intoxicated
CASE_00007,concealment_actions
CASE_00007,disposal_of_weapon
CASE_00007,flight_after_offence
CASE_00007,alibi_claim
CASE_00007,withdrawal_from_joint_enterprise
CASE_00007,abduction
CASE_00007,tied_restraint
CASE_00007,weapon_petrol_fire
CASE_00007,post_offence_burial
CASE_00007,boasting_admissions
CASE_00007,confession_third_party
CASE_00007,prior_assault
CASE_00007,cctv_presence
CASE_00007,cctv_attack_visible
CASE_00007,eyewitness_identification
CASE_00007,eyewitness_heard_threat
CASE_00007,dna_match_victim_on_defendant
CASE_00007,dna_match_defendant_on_weapon
CASE_00007,fingerprint_match_on_weapon
CASE_00007,gunshot_residue_gsr
CASE_00007,blood_spatter_pattern_consistent
CASE_00007,injury_defensive_wounds
CASE_00007,wound_sharp_force
CASE_00007,wound_blunt_force
CASE_00007,time_of_death_window_narrow
CASE_00007,phone_cell_site_near_scene
CASE_00007,call_logs_prior_contact
CASE_00007,messages_prior_threats
CASE_00007,search_history_weapons_or_poison
CASE_00007,purchase_record_weapon
CASE_00007,financial_transactions_gain
CASE_00007,inconsistent_statements
CASE_00007,witness_self_defence_statements
CASE_00007,expert_opinion_diminished_resp
CASE_00007,medical_history_mental_impairment
CASE_00007,paragraph_marker
CASE_00007,mens_rea_intent_gbh
CASE_00007,self_defence_legal
CASE_00007,insanity
CASE_00007,diminished_responsibility
CASE_00007,loss_of_control
CASE_00007,duress_not_available_murder
CASE_00007,withdrawal_effective
CASE_00007,manslaughter_diminished_resp
CASE_00007,manslaughter_loss_of_control
CASE_00007,manslaughter_unlawful_act
CASE_00007,manslaughter_gross_negligence
CASE_00007,lawful_killing_self_defence
CASE_00019,encounter
CASE_00019,prior_conflict
CASE_00019,prior_threats
